page,location,text,char_count,typography_variant,text_source
(auth)/design-system-preview,Enhanced modal action,Confirm,7,StandardAppButton,inline string
(auth)/design-system-preview,Enhanced modal action,Cancel,6,StandardAppButton,inline string
(auth)/design-system-preview,Enhanced modal helper,"Use EnhancedModal for flexible layouts, glass surfaces, and consistent actions.",79,bodySmall,inline string
(auth)/design-system-preview,Enhanced modal input label,Sample Field,12,StandardAppTextInput label,inline string
(auth)/design-system-preview,Enhanced modal input value,Preview only,12,StandardAppTextInput value,inline string
(auth)/design-system-preview,Enhanced modal input success,Looks good,10,StandardAppTextInput successText,inline string
(protected)/(features)/camera,Alert title,Scanned Data,12,Alert title,inline string
(protected)/(features)/camera,Alert action,Scan Again,10,Alert button,inline string
(protected)/(features)/camera,Alert action,Cancel,6,Alert button,inline string
(protected)/(features)/camera,Permission loading,Loading camera...,17,bodyLarge,inline string
(protected)/(features)/camera,Permission header,Camera Access Required,22,headlineSmall,inline string
(protected)/(features)/camera,Permission body,We need camera access to scan QR codes.,39,bodyMedium,inline string
(protected)/(features)/camera,Permission body,We need camera access to capture photos for your project.,57,bodyMedium,inline string
(protected)/(features)/camera,Permission action,Grant Camera Access,19,StandardAppButton,inline string
(protected)/(features)/camera,Permission action,Go Back,7,StandardAppButton,inline string
(protected)/(features)/camera,No project header,No Project Selected,19,headlineSmall,inline string
(protected)/(features)/camera,No project body,Please select a project before taking photos.,45,bodyMedium,inline string
(protected)/(features)/camera,No project action,Go Back,7,StandardAppButton,inline string
(protected)/(features)/camera,Photo mode badge,{remainingPhotos} photos left,29,labelMedium,inline template
(protected)/(features)/camera,QR mode badge,QR Scanner,10,labelMedium,inline string
(protected)/(features)/camera,QR overlay instruction,Align QR code within the frame,30,StandardAppText/default,inline string
(protected)/(features)/camera,Project name fallback,Untitled Project,16,labelSmall,inline string
(protected)/(features)/camera,Photo limit notice,Photo limit reached,19,labelSmall,inline string
(protected)/(features)/tag-photo,Error state,Error: Missing photo or project information.,44,bodyLarge,inline string
(protected)/(features)/tag-photo,Error action,Go Back,7,StandardAppButton/primary,inline string
(protected)/(features)/tag-photo,Header,Edit Tags,9,headlineMedium,inline string
(protected)/(features)/tag-photo,Header,Tag Your Photo,14,headlineMedium,inline string
(protected)/(features)/tag-photo,Input label,Add a tag,9,StandardAppTextInput label,inline string
(protected)/(features)/tag-photo,Empty selection,No tags selected yet,20,bodySmall,inline string
(protected)/(features)/tag-photo,Suggestions label,Suggestions,11,labelMedium,inline string
(protected)/(features)/tag-photo,Suggestions label,Available Tags,14,labelMedium,inline string
(protected)/(features)/tag-photo,Suggestions empty,No matching tags,16,bodyMedium,inline string
(protected)/(features)/tag-photo,Suggestions empty,No tags available,17,bodyMedium,inline string
(protected)/(features)/tag-photo,Action button,Cancel,6,StandardAppButton/secondary,inline string
(protected)/(features)/tag-photo,Action button,Update Tags,11,StandardAppButton/tertiary,inline string
(protected)/(features)/tag-photo,Action button,Save Photo & Tags,17,StandardAppButton/tertiary,inline string
(protected)/(features)/share-photo,Error state,Photo not found.,16,bodyLarge,inline string
(protected)/(features)/share-photo,Error action,Go Back,7,StandardAppButton/secondary,inline string
(protected)/(features)/share-photo,Unavailable header,Sharing Not Available,21,headlineSmall,inline string
(protected)/(features)/share-photo,Unavailable body,Photo sharing is not available on your current plan. Upgrade to share photos.,77,bodyMedium,inline string
(protected)/(features)/share-photo,Unavailable action,Go Back,7,StandardAppButton/secondary,inline string
(protected)/(features)/share-photo,Modal title,Share Photo,11,EnhancedModal title,inline string
(protected)/(features)/share-photo,Modal subtitle,Share your moment with a custom message.,40,EnhancedModal subtitle,inline string
(protected)/(features)/share-photo,Modal action,Cancel,6,StandardAppButton/secondary,inline string
(protected)/(features)/share-photo,Modal action,Share Now,9,StandardAppButton/primary,inline string
(protected)/(features)/share-photo,Input label,Add a Message,13,StandardAppTextInput label,inline string
(protected)/(features)/share-photo,Hashtag toggle title,Include Hashtags,16,List.Item title,inline string
(protected)/(features)/share-photo,Hashtag toggle empty,No tags to show,15,List.Item description fallback,inline string
(protected)/(payment)/index,Header,Complete Your Subscription,26,headlineMedium,inline string
(protected)/(payment)/index,Status,Confirming payment... Please wait.,34,StandardAppText/default,inline string
(protected)/(payment)/index,Plan header,{plan} Plan - {cycle},21,headlineMedium,inline template
(protected)/(payment)/index,Line item label,Base Price:,11,StandardAppText/default,inline string
(protected)/(payment)/index,Line item label,Promo Code ({promo}):,21,StandardAppText/default,inline template
(protected)/(payment)/index,Line item label,Discount:,9,StandardAppText/default,inline string
(protected)/(payment)/index,Total label,Total:,6,StandardAppText/default,inline string
(protected)/(payment)/index,Form helper,Enter your card details to complete the payment,47,bodyMedium,inline string
(protected)/(payment)/index,Primary button,Processing...,13,StandardAppButton/primary,inline string
(protected)/(payment)/index,Primary button,Update Payment Method,21,StandardAppButton/primary,inline string
(protected)/(payment)/index,Primary button,Pay {formattedPrice},20,StandardAppButton/primary,inline template
(protected)/(payment)/index,Secure notice,🔒 Secure payment powered by Stripe,34,bodySmall,inline string
(protected)/(payment)/index,Problem dialog title,Problem processing payment,26,PaymentStatusDialog title,inline string
(protected)/(payment)/index,Problem dialog message,Please try again.,17,PaymentStatusDialog message,inline string
(protected)/(payment)/index,Problem dialog action,Retry,5,PaymentStatusDialog action,inline string
(protected)/(payment)/pricing,Primary CTA,Try EyeDoo Now,14,StandardAppButton/primary,inline string
(protected)/(payment)/pricing,Primary CTA,Continue To Payment,19,StandardAppButton/primary,inline string
(protected)/(payment)/pricing,Email verification skip,Proceed without verifying email,31,EmailVerificationModal skipButtonLabel,inline string
(protected)/(setup)/index,Top bar,Setup Overview,14,StandardAppTopBar title,inline string
(protected)/(setup)/index,Header,Master List Status,18,headlineMedium,inline string
(protected)/(setup)/index,Action,Skip & Use Defaults,19,StandardAppButton/tertiary,inline string
(protected)/(setup)/index,Action,Reset All Lists,15,StandardAppButton/secondary,inline string
(protected)/(setup)/index,Description,Review and customize your lists.,32,bodyMedium,inline string
(protected)/(setup)/index,Setup card title,Kit List,8,SetupCard title,inline string
(protected)/(setup)/index,Setup card description,Equipment and gear checklist,28,SetupCard description,inline string
(protected)/(setup)/index,Setup card title,Task List,9,SetupCard title,inline string
(protected)/(setup)/index,Setup card description,Pre-shoot preparation tasks,27,SetupCard description,inline string
(protected)/(setup)/index,Setup card title,Couple Shots,12,SetupCard title,inline string
(protected)/(setup)/index,Setup card description,Romantic photo ideas,20,SetupCard description,inline string
(protected)/(setup)/index,Setup card title,Group Shots,11,SetupCard title,inline string
(protected)/(setup)/index,Setup card description,Family and group photos,23,SetupCard description,inline string
(protected)/(setup)/index,Skip dialog title,Fast Track Setup,16,StandardAppDialog title,inline string
(protected)/(setup)/index,Skip dialog content,Apply standard default lists for Kit and Group Shots?,53,StandardAppDialog content,inline string
(protected)/(setup)/index,Skip dialog content,Apply standard default lists for all categories?,48,StandardAppDialog content,inline string
(protected)/(setup)/index,Skip dialog action,Cancel,6,StandardAppDialog action,inline string
(protected)/(setup)/index,Skip dialog action,Confirm,7,StandardAppDialog action,inline string
(protected)/(setup)/index,Reset dialog title,Reset All Lists,15,StandardAppDialog title,inline string
(protected)/(setup)/index,Reset dialog content,This will revert all your lists to the latest template versions.,64,StandardAppDialog content,inline string
(protected)/(setup)/index,Reset dialog action,Cancel,6,StandardAppDialog action,inline string
(protected)/(setup)/index,Reset dialog action,Reset,5,StandardAppDialog action,inline string
(protected)/(setup)/index,Error dialog title,Error,5,StandardAppDialog title,inline string
(protected)/(setup)/index,Error dialog action,OK,2,StandardAppDialog action,inline string
(protected)/(setup)/index,Success dialog title,Success,7,StandardAppDialog title,inline string
(protected)/(setup)/index,Success dialog action,OK,2,StandardAppDialog action,inline string
(protected)/(setup)/index,SetupCard label,Status:,7,bodySmall,component: SetupCard
(protected)/(setup)/index,SetupCard status,Locked,6,StatusBadge label,component: SetupCard
(protected)/(setup)/index,SetupCard status,Created,7,StatusBadge label,component: SetupCard
(protected)/(setup)/index,SetupCard status,Not Created,11,StatusBadge label,component: SetupCard
(protected)/(setup)/index,SetupCard label,Available:,10,bodySmall,component: SetupCard
(protected)/(setup)/index,SetupCard availability,Yes,3,StatusBadge label,component: SetupCard
(protected)/(setup)/index,SetupCard availability,Upgrade Required,16,StatusBadge label,component: SetupCard
(protected)/(setup)/index,SetupCard hint,Tap to create and customize,27,bodySmall,component: SetupCard
(protected)/(setup)/kit,Top bar,Kit List Setup,14,StandardAppTopBar title,inline string
(protected)/(setup)/kit,Unavailable feature title,Premium Feature,15,InfoCard title,inline string
(protected)/(setup)/kit,Unavailable feature description,Upgrade your plan to access and customize the Kit List.,55,InfoCard description,inline string
(protected)/(setup)/kit,Unavailable feature button,Back to Setup,13,InfoCard button,inline string
(protected)/(setup)/kit,Locked title,Kit Setup Complete,18,InfoCard title,inline string
(protected)/(setup)/kit,Locked description,Your kit list is saved.,23,InfoCard description,inline string
(protected)/(setup)/kit,Locked button,Back,4,InfoCard button,inline string
(protected)/(setup)/kit,Primary action,Save & Continue,15,StandardAppButton/primary,inline string
(protected)/(setup)/kit,Loading state,Loading defaults...,19,StandardAppText/default,inline string
(protected)/(setup)/tasks,Top bar,Tasks Setup,11,StandardAppTopBar title,inline string
(protected)/(setup)/tasks,Unavailable feature title,Premium Feature,15,InfoCard title,inline string
(protected)/(setup)/tasks,Unavailable feature description,Upgrade your plan to access and customize the Task List.,56,InfoCard description,inline string
(protected)/(setup)/tasks,Unavailable feature button,Back to Setup,13,InfoCard button,inline string
(protected)/(setup)/tasks,Locked title,Tasks Setup Complete,20,InfoCard title,inline string
(protected)/(setup)/tasks,Locked description,Your task list is saved.,24,InfoCard description,inline string
(protected)/(setup)/tasks,Locked button,Back to Setup,13,InfoCard button,inline string
(protected)/(setup)/tasks,Primary action,Save & Continue,15,StandardAppButton/primary,inline string
(protected)/(setup)/tasks,Loading state,Loading default tasks...,24,StandardAppText/default,inline string
(protected)/(setup)/couple-shots,Top bar,Couple Shots Setup,18,StandardAppTopBar title,inline string
(protected)/(setup)/couple-shots,Unavailable feature title,Premium Feature,15,InfoCard title,inline string
(protected)/(setup)/couple-shots,Unavailable feature description,Upgrade your plan to access and customize the Couple Shots List.,64,InfoCard description,inline string
(protected)/(setup)/couple-shots,Unavailable feature button,Back to Setup,13,InfoCard button,inline string
(protected)/(setup)/couple-shots,Locked title,Couple Shots Setup Complete,27,InfoCard title,inline string
(protected)/(setup)/couple-shots,Locked description,Your couple shots list is saved.,32,InfoCard description,inline string
(protected)/(setup)/couple-shots,Locked button,Back,4,InfoCard button,inline string
(protected)/(setup)/couple-shots,Primary action,Save & Continue,15,StandardAppButton/primary,inline string
(protected)/(setup)/couple-shots,Loading state,Loading defaults...,19,StandardAppText/default,inline string
(protected)/(setup)/group-shots,Top bar,Group Shots Setup,17,StandardAppTopBar title,inline string
(protected)/(setup)/group-shots,Unavailable feature title,Premium Feature,15,InfoCard title,inline string
(protected)/(setup)/group-shots,Unavailable feature description,Upgrade your plan to access and customize the Group Shots List.,63,InfoCard description,inline string
(protected)/(setup)/group-shots,Unavailable feature button,Back to Setup,13,InfoCard button,inline string
(protected)/(setup)/group-shots,Locked title,Group Shots Setup Complete,26,InfoCard title,inline string
(protected)/(setup)/group-shots,Locked description,Your group shots list is saved.,31,InfoCard description,inline string
(protected)/(setup)/group-shots,Locked button,Back,4,InfoCard button,inline string
(protected)/(setup)/group-shots,Primary action,Save & Continue,15,StandardAppButton/primary,inline string
(protected)/(setup)/group-shots,Loading state,Loading defaults...,19,StandardAppText/default,inline string
(protected)/(onboarding)/free,Splash title,Your Free Account is Ready!,27,DynamicSplash title,constants/onboarding-content
(protected)/(onboarding)/free,Splash description,You have access to all our core features. Let's see what you can do.,68,DynamicSplash description,constants/onboarding-content
(protected)/(onboarding)/free,Slideshow slide title,Welcome to Eye-Doo,18,Slideshow title,constants/onboarding-content
(protected)/(onboarding)/free,Slideshow slide description,"Manage projects, track timelines, and organize clients all in one place.",72,Slideshow description,constants/onboarding-content
(protected)/(onboarding)/free,Slideshow slide title,Client Portals,14,Slideshow title,constants/onboarding-content
(protected)/(onboarding)/free,Slideshow slide description,"Share timelines, shot lists, and photos with your clients in a branded portal.",78,Slideshow description,constants/onboarding-content
(protected)/(onboarding)/free,Slideshow slide title,Smart Shot Lists,16,Slideshow title,constants/onboarding-content
(protected)/(onboarding)/free,Slideshow slide description,Never miss a moment with dynamic group and couple shot lists.,61,Slideshow description,constants/onboarding-content
(protected)/(onboarding)/free,Slideshow slide title,Vendor Management,17,Slideshow title,constants/onboarding-content
(protected)/(onboarding)/free,Slideshow slide description,Keep all your vendor contacts and details organized per project.,64,Slideshow description,constants/onboarding-content
(protected)/(onboarding)/free,Slideshow slide title,Welcome to Eye-Doo,18,Slideshow title,constants/onboarding-content
(protected)/(onboarding)/free,Slideshow slide description,See how Eye-Doo works. Verify your email to unlock full access and start creating.,82,Slideshow description,constants/onboarding-content
(protected)/(onboarding)/free,Slideshow slide title,Preview Mode,12,Slideshow title,constants/onboarding-content
(protected)/(onboarding)/free,Slideshow slide description,"You're currently in read-only preview mode. Explore features, but you'll need to verify your email to create and edit.",118,Slideshow description,constants/onboarding-content
(protected)/(onboarding)/free,Slideshow slide title,Unlock Full Access,18,Slideshow title,constants/onboarding-content
(protected)/(onboarding)/free,Slideshow slide description,"Verify your email to unlock your full trial: create projects, customize lists, and access all features.",103,Slideshow description,constants/onboarding-content
(protected)/(onboarding)/free,Slideshow slide title,Get Started,11,Slideshow title,constants/onboarding-content
(protected)/(onboarding)/free,Slideshow slide description,"After verification, you'll have full access to all features. You can verify anytime from your account settings.",111,Slideshow description,constants/onboarding-content
(protected)/(onboarding)/paid,Loading indicator,Loading...,10,StandardAppLoadingIndicator message,inline string
(protected)/(onboarding)/paid,Slideshow slide title,Basic: Create a Project,23,Slideshow title,constants/onboarding-content
(protected)/(onboarding)/paid,Slideshow slide description,Tap the + button to create your first project and get started.,62,Slideshow description,constants/onboarding-content
(protected)/(onboarding)/paid,Slideshow slide title,Basic: Add a Client,19,Slideshow title,constants/onboarding-content
(protected)/(onboarding)/paid,Slideshow slide description,Link clients to projects for organized communication and tracking.,66,Slideshow description,constants/onboarding-content
(protected)/(onboarding)/paid,Slideshow slide title,Basic: Your Timeline,20,Slideshow title,constants/onboarding-content
(protected)/(onboarding)/paid,Slideshow slide description,"Build a schedule with tasks, milestones, and deadlines.",55,Slideshow description,constants/onboarding-content
(protected)/(onboarding)/paid,Slideshow slide title,Basic: Add Notes,16,Slideshow title,constants/onboarding-content
(protected)/(onboarding)/paid,Slideshow slide description,Keep track of important details and conversations.,50,Slideshow description,constants/onboarding-content
(protected)/(onboarding)/paid,Slideshow slide title,Basic: All Set!,15,Slideshow title,constants/onboarding-content
(protected)/(onboarding)/paid,Slideshow slide description,You know the basics. Start creating amazing projects!,53,Slideshow description,constants/onboarding-content
(protected)/(onboarding)/paid,Slideshow slide title,Pro: Client Portals,19,Slideshow title,constants/onboarding-content
(protected)/(onboarding)/paid,Slideshow slide description,"Share timelines, galleries, and updates with clients in branded portals.",72,Slideshow description,constants/onboarding-content
(protected)/(onboarding)/paid,Slideshow slide title,Pro: Smart Shot Lists,21,Slideshow title,constants/onboarding-content
